residual_std_batch_step,beta_mean_step,weekly_strength_mean_step,step,val_bias_scaled,need_mean,got_mean,residual_std_batch_epoch,beta_mean_epoch,beta_min,beta_max,weekly_strength_mean_epoch,top1_period,val_loss,epoch,beta_min_epoch,beta_max_epoch,train_loss_epoch,residual_std_batch,beta_min_step,beta_max_step,train_loss_step
0.07619491219520569,0.4036993980407715,0.00616561621427536,0,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,1,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,2,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,3,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,4,,,,,,,,,,,,,,,,,,
,,,29,0.233052060008049,-0.03859464079141617,0.19443969428539276,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.9549703598022461,0,,,,,,,
,,,29,,,,,0.46861666440963745,,,0.11436107009649277,24.0,,0,0.3999997675418854,0.9946176409721375,8.000819206237793,,,,
,0.48907470703125,0.1484578549861908,49,,,,,,,,,,,1,,,,0.15363970398902893,0.4000000059604645,0.9999178647994995,0.20259428024291992
0.07619491219520569,0.4036993980407715,0.00616561621427536,5,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,6,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,7,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,8,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,9,,,,,,,,,,,,,,,,,,
,,,59,0.14095771312713623,-0.03859464079141617,0.10235290229320526,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.40356484055519104,1,,,,,,,
,,,59,,,,,0.4704762101173401,,,0.11746030300855637,24.0,,1,0.3999997675418854,0.9970734119415283,0.2274893969297409,,,,
0.07619491219520569,0.4036993980407715,0.00616561621427536,10,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,11,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,12,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,13,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,14,,,,,,,,,,,,,,,,,,
,,,89,0.018194396048784256,-0.03859464079141617,-0.02040710486471653,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.3223886489868164,2,,,,,,,
,,,89,,,,,0.47068271040916443,,,0.11780444532632828,24.0,,2,0.3999997675418854,0.9907783269882202,0.19387555122375488,,,,
,0.4514533579349518,0.08575558662414551,99,,,,,,,,,,,3,,,,0.15845747292041779,0.4000000059604645,0.99928879737854,0.1878415048122406
0.07619491219520569,0.4036993980407715,0.00616561621427536,15,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,16,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,17,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,18,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,19,,,,,,,,,,,,,,,,,,
,,,119,0.1262107789516449,-0.03859464079141617,0.08760376274585724,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.4087790846824646,3,,,,,,,
