residual_std_batch_step,beta_mean_step,weekly_strength_mean_step,step,val_bias_scaled,need_mean,got_mean,residual_std_batch_epoch,beta_mean_epoch,beta_min,beta_max,weekly_strength_mean_epoch,top1_period,val_loss,epoch,beta_min_epoch,beta_max_epoch,train_loss_epoch,residual_std_batch,beta_min_step,beta_max_step,train_loss_step
0.07619491219520569,0.4036993980407715,0.00616561621427536,0,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,1,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,2,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,3,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,4,,,,,,,,,,,,,,,,,,
,,,29,0.02499377354979515,-0.03859464079141617,-0.01360168494284153,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.31652435660362244,0,,,,,,,
,,,29,,,,,0.4688892960548401,,,0.11481542885303497,24.0,,0,0.3999997675418854,0.9979280233383179,2.9574546813964844,,,,
,0.44303828477859497,0.07173044234514236,49,,,,,,,,,,,1,,,,0.16434311866760254,0.4000000059604645,0.9762817621231079,0.20587636530399323
0.07619491219520569,0.4036993980407715,0.00616561621427536,5,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,6,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,7,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,8,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,9,,,,,,,,,,,,,,,,,,
,,,59,0.2665211856365204,-0.03859464079141617,0.22792968153953552,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.758213460445404,1,,,,,,,
,,,59,,,,,0.4710456430912018,,,0.1184094101190567,24.0,,1,0.3999997675418854,0.9965910315513611,0.24689514935016632,,,,
0.07619491219520569,0.4036993980407715,0.00616561621427536,10,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,11,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,12,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,13,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,14,,,,,,,,,,,,,,,,,,
,,,89,0.16673453152179718,-0.03859464079141617,0.12813720107078552,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.7629891037940979,2,,,,,,,
,,,89,,,,,0.4683613181114197,,,0.11393557488918304,24.0,,2,0.3999997675418854,0.9923083782196045,0.21106106042861938,,,,
,0.46432626247406006,0.10721041262149811,99,,,,,,,,,,,3,,,,0.15831603109836578,0.4000000059604645,0.9989122152328491,0.21456575393676758
0.07619491219520569,0.4036993980407715,0.00616561621427536,15,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,16,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,17,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,18,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,19,,,,,,,,,,,,,,,,,,
,,,119,0.20074430108070374,-0.03859464079141617,0.16213378310203552,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.7329988479614258,3,,,,,,,
,,,119,,,,,0.47050589323043823,,,0.11750991642475128,24.0,,3,0.3999997675418854,0.9966176748275757,0.20160529017448425,,,,
