residual_std_batch_step,beta_mean_step,weekly_strength_mean_step,step,val_bias_scaled,need_mean,got_mean,residual_std_batch_epoch,beta_mean_epoch,beta_min,beta_max,weekly_strength_mean_epoch,top1_period,val_loss,epoch,beta_min_epoch,beta_max_epoch,train_loss_epoch,residual_std_batch,beta_min_step,beta_max_step,train_loss_step
0.07619491219520569,0.4036993980407715,0.00616561621427536,10,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,11,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,12,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,13,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,14,,,,,,,,,,,,,,,,,,
,,,44,0.24093985557556152,-0.03859464079141617,0.20234374701976776,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.7087240815162659,2,,,,,,,
,,,44,,,,,0.4699081480503082,,,0.11651371419429779,24.0,,2,0.3999997675418854,0.9939623475074768,0.23984791338443756,,,,
,0.47129008173942566,0.1188168004155159,49,,,,,,,,,,,3,,,,0.16545958817005157,0.4000000059604645,0.999179482460022,0.21202147006988525
0.07619491219520569,0.4036993980407715,0.00616561621427536,15,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,16,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,17,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,18,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,19,,,,,,,,,,,,,,,,,,
,,,59,0.14926742017269135,-0.03859464079141617,0.11066284030675888,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.49196600914001465,3,,,,,,,
,,,59,,,,,0.4673093557357788,,,0.11218240112066269,24.0,,3,0.3999997675418854,0.9899534583091736,0.21473810076713562,,,,
0.07619491219520569,0.4036993980407715,0.00616561621427536,20,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,21,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,22,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,23,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,24,,,,,,,,,,,,,,,,,,
,,,74,0.14627507328987122,-0.03859464079141617,0.10769043117761612,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.4646758437156677,4,,,,,,,
,,,74,,,,,0.46784183382987976,,,0.11306967586278915,24.0,,4,0.3999997675418854,0.9891931414604187,0.19806097447872162,,,,
0.07619491219520569,0.4036993980407715,0.00616561621427536,25,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,26,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,27,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,28,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,29,,,,,,,,,,,,,,,,,,
